     LONGITUDE     ,      LATITUDE      ,      THROUGHPUT       
 72.93329620361328 , 22.566699981689453 ,    29.805555555555557 
 77.19999694824219 , 28.600000381469727 ,    27.083333333333332 
    72.61669921875 , 23.033300399780273 ,              26.46875 
  82.2332992553711 , 21.983299255371094 ,                  25.0 
 72.93329620361328 , 19.149999618530273 ,              24.84375 
    73.86669921875 , 18.533300399780273 ,                  24.5 
              78.5 , 17.450000762939453 ,               23.4375 
 88.36969757080078 , 22.569700241088867 ,                  22.5 
  77.3499984741211 ,  10.01669979095459 ,    20.343100189035916 
  79.9666976928711 , 14.433300018310547 ,               19.6875 
 77.43329620361328 ,  28.66670036315918 ,     18.90082644628099 
  75.6500015258789 ,  32.28329849243164 ,    18.858024691358025 
 73.02999877929688 , 26.286699295043945 ,     16.56714876033058 
 78.58329772949219 , 25.433300018310547 ,    16.025510204081634 
 72.93329620361328 , 22.566699981689453 ,               14.6875 
 76.83329772949219 ,  17.33329963684082 ,    13.645833333333334 
  75.8499984741211 , 30.899999618530273 ,    13.320957987655591 
 78.47440338134766 ,  17.37529945373535 ,    13.118913825203636 
 72.68329620361328 , 23.216699600219727 ,    12.782118055555555 
  77.2166976928711 ,  28.66670036315918 ,    11.622448979591837 
 72.82579803466797 , 18.975000381469727 ,    11.383219954648526 
 83.30000305175781 , 17.700000762939453 ,    11.319775873347583 
  81.0999984741211 , 16.700000762939453 ,                 11.25 
 78.47440338134766 ,  17.37529945373535 ,    11.234381250547624 
 72.82579803466797 , 18.975000381469727 ,    10.634512181809836 
  73.2667007446289 , 19.149999618530273 ,                10.625 
  79.9666976928711 , 14.433300018310547 ,    10.499065812369716 
 75.81670379638672 ,  26.91670036315918 ,    10.381196158642924 
  72.9832992553711 , 19.200000762939453 ,     9.994809688581315 
 72.92639923095703 , 18.798900604248047 ,     9.815151013081724 
 72.68329620361328 , 23.216699600219727 ,     9.462812236644867 
 78.16670227050781 , 11.649999618530273 ,     9.435374149659864 
    73.88330078125 ,  29.91670036315918 ,      9.25925925925926 
 88.36969757080078 , 22.569700241088867 ,     8.858024691358025 
 77.58329772949219 ,  12.98330020904541 ,     8.693646063850284 
 78.47440338134766 ,  17.37529945373535 ,     8.682563591045056 
 72.82579803466797 , 18.975000381469727 ,     8.648148148148147 
    76.13330078125 ,     31.11669921875 ,     8.643595041322314 
 77.58329772949219 ,  12.98330020904541 ,     8.621970617032511 
 77.60530090332031 ,  8.389200210571289 ,     8.612244897959183 
 78.68560028076172 , 10.805000305175781 ,     8.425925925925926 
 72.82579803466797 , 18.975000381469727 ,     8.401578561819703 
    80.61669921875 , 16.516700744628906 ,      8.38416939336555 
 77.58329772949219 ,  12.98330020904541 ,     8.317163684046472 
 72.82579803466797 , 18.975000381469727 ,     7.826297577854671 
 77.19999694824219 , 28.600000381469727 ,     7.698412698412698 
             79.75 , 16.049999237060547 ,     7.695468188806293 
 72.82579803466797 , 18.975000381469727 ,     7.626457661762916 
              78.5 , 17.450000762939453 ,     7.516992165702772 
  80.2667007446289 ,  13.16670036315918 ,                  7.38 
 76.95690155029297 ,    8.5068998336792 ,     7.355555555555555 
              78.5 , 17.450000762939453 ,    7.3448720700311245 
 78.47440338134766 ,  17.37529945373535 ,     7.338634140128963 
 78.47440338134766 ,  17.37529945373535 ,      7.11813752402184 
 78.47440338134766 ,  17.37529945373535 ,     7.098827326297003 
  77.0333023071289 , 28.466699600219727 ,     7.060314902058021 
 83.30000305175781 , 17.700000762939453 ,     7.052006568360269 
 77.19999694824219 , 28.600000381469727 ,     7.044870300310393 
 73.08329772949219 , 19.216699600219727 ,      6.98643668722211 
   88.310302734375 ,  22.58919906616211 ,     6.929012345679013 
  80.3499984741211 , 26.466699600219727 ,     6.915212243174814 
  80.3499984741211 , 26.466699600219727 ,     6.902892590190518 
 77.69999694824219 ,   8.73330020904541 ,     6.871928363182008 
  80.2146987915039 , 13.039199829101562 ,     6.860570435337531 
 78.47440338134766 ,  17.37529945373535 ,     6.854679492869704 
 78.47440338134766 ,  17.37529945373535 ,     6.823495721740364 
 78.47440338134766 ,  17.37529945373535 ,     6.764309224858348 
 78.47440338134766 ,  17.37529945373535 ,     6.756560230171802 
 72.82579803466797 , 18.975000381469727 ,     6.737108892552028 
  77.2166976928711 ,  28.66670036315918 ,     6.707482993197279 
 78.35140228271484 , 17.419200897216797 ,     6.694836275432762 
  77.0999984741211 , 27.433300018310547 ,     6.689804122025863 
 72.82579803466797 , 18.975000381469727 ,     6.674009505304228 
  78.4800033569336 , 17.310800552368164 ,     6.646193857707536 
 72.82579803466797 , 18.975000381469727 ,     6.640002889373352 
 78.47440338134766 ,  17.37529945373535 ,    6.5636233183499115 
 72.82579803466797 , 18.975000381469727 ,               6.53875 
 78.47440338134766 ,  17.37529945373535 ,     6.537714958203311 
 72.82579803466797 , 18.975000381469727 ,     6.500179801603969 
  72.9000015258789 , 20.966699600219727 ,                   6.5 
  75.0167007446289 ,  13.83329963684082 ,                   6.5 
  80.2833023071289 ,  13.08329963684082 ,                   6.5 
 76.95690155029297 ,    8.5068998336792 ,                   6.5 
 83.30000305175781 , 17.700000762939453 ,     6.475667940358047 
 88.36969757080078 , 22.569700241088867 ,     6.437869822485207 
 78.47440338134766 ,  17.37529945373535 ,     6.413865439165282 
 78.47440338134766 ,  17.37529945373535 ,    6.3736389042038075 
 78.47440338134766 ,  17.37529945373535 ,    6.3591982546912815 
              78.5 , 17.450000762939453 ,     6.321398930142237 
  77.0333023071289 , 28.466699600219727 ,     6.270877805375409 
