
+-------------------+--------------------+-----------------------+-----------------+-----------------------------------------------------------------------------------+
|     LONGITUDE     |      LATITUDE      |      THROUGHPUT       |       IP        |                                       NAME                                        |
+-------------------+--------------------+-----------------------+-----------------+-----------------------------------------------------------------------------------+
| 77.58329772949219 |  12.98330020904541 |     6.194733202537441 | 122.172.49.212  |                                                                                   |
| 72.91670227050781 | 20.850000381469727 |      3.03733834072895 | 111.125.248.101 | 101.248.125.111-dynamic.nivyah.com                                                |
| 79.83000183105469 | 11.930000305175781 |     2.987184288632022 | 210.212.230.2   |                                                                                   |
|  74.5999984741211 | 16.433300018310547 |                   2.5 | 117.200.99.66   |                                                                                   |
|  80.2833023071289 |  13.08329963684082 |                   2.5 | 59.97.36.112    |                                                                                   |
|  75.5792007446289 | 31.325599670410156 |                   2.5 | 117.199.114.253 |                                                                                   |
| 83.30000305175781 | 17.700000762939453 |                   2.5 | 117.195.225.177 |                                                                                   |
|    73.86669921875 | 18.533300399780273 |    2.4903837541958844 | 121.242.42.163  | 121.242.42.163.static-pune.vsnl.net.in                                            |
| 72.82579803466797 | 18.975000381469727 |     2.445454083321128 | 120.60.3.138    | triband-mum-120.60.3.138.mtnl.net.in                                              |
| 85.83329772949219 | 20.233299255371094 |     2.399964531845448 | 202.62.224.19   |                                                                                   |
| 77.19999694824219 | 28.600000381469727 |    2.1918110213722937 | 61.95.147.21    |                                                                                   |
|    73.86669921875 | 18.533300399780273 |    2.1812152594643277 | 219.64.92.55    | 219.64.92.55.dynamic.pune.vsnl.net.in                                             |
|  80.2833023071289 |  13.08329963684082 |    2.1195721906275096 | 122.174.70.101  | ABTS-TN-dynamic-101.70.174.122.airtelbroadband.in                                 |
| 77.58329772949219 |  12.98330020904541 |    2.0491232144574827 | 59.93.93.66     |                                                                                   |
| 77.19999694824219 | 28.600000381469727 |     2.017237018862501 | 59.180.129.75   | triband-del-59.180.129.75.bol.net.in                                              |
| 72.82579803466797 | 18.975000381469727 |     1.997887804607277 | 111.125.244.81  | 81.244.125.111-dynamic.nivyah.com                                                 |
|  80.3499984741211 | 26.466699600219727 |    1.9777323282721708 | 202.3.77.153    |                                                                                   |
|  80.2833023071289 |  13.08329963684082 |     1.898259234653644 | 122.174.69.157  | ABTS-TN-dynamic-157.69.174.122.airtelbroadband.in                                 |
| 77.19999694824219 | 28.600000381469727 |     1.880406465635897 | 59.178.194.66   | triband-del-59.178.194.66.bol.net.in                                              |
| 72.82579803466797 | 18.975000381469727 |    1.8697680493410742 | 120.60.128.12   | triband-mum-120.60.128.12.mtnl.net.in                                             |
| 72.82579803466797 | 18.975000381469727 |    1.8634629796581996 | 120.62.5.42     | triband-mum-120.62.5.42.mtnl.net.in                                               |
